latitude,longitude,room_type,bathrooms,bedrooms,beds,price,property_type,accommodates
37.73212,-122.44669,Private room,1.0,0.0,1.0,74.0,Private room in home,2
37.71195,-122.45067,Private room,1.0,1.0,1.0,80.0,Private room in home,1
37.79186249,-122.4240723,Private room,1.0,1.0,1.0,250.0,Private room in condo,2
37.77795,-122.39628,Entire home/apt,1.0,1.0,1.0,149.0,Entire rental unit,1
37.78428,-122.41592,Entire home/apt,1.0,0.0,1.0,77.0,Entire rental unit,2
37.76909,-122.4436,Entire home/apt,1.0,1.0,1.0,105.0,Entire rental unit,4
37.77844,-122.42248,Entire home/apt,1.0,0.0,1.0,160.0,Entire condo,2
37.76909,-122.4436,Entire home/apt,1.0,2.0,2.0,125.0,Entire rental unit,5
37.78497,-122.41447,Entire home/apt,1.0,0.0,1.0,73.0,Entire rental unit,2
37.77076,-122.44548,Entire home/apt,1.0,0.0,1.0,96.0,Entire rental unit,2
37.78424,-122.41621,Entire home/apt,1.0,0.0,1.0,77.0,Entire rental unit,2
37.71417,-122.45035,Private room,1.0,1.0,1.0,80.0,Private room in home,1
37.76077652,-122.5020905,Entire home/apt,1.0,3.0,4.0,421.0,Entire home,6
37.75932,-122.49847,Entire home/apt,1.0,1.0,1.0,138.0,Entire home,2
37.80217,-122.4233,Private room,2.0,1.0,1.0,64.0,Private room in home,2
